코드,관광지명,필드,변경전,변경후,규칙,사유,단계,근거출처,비고,개최월,_2026일정,확정도,추천대상,근거,제외사유
P747,어승생악,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P748,물영아리,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P749,따라비오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P750,지미봉,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P751,안돌오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P752,큰녹고메,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P753,섯알오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P763,붉은오름(성산읍),이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P770,좌보미,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P772,바농오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P775,영천악,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P776,지그리오름 (큰지그리),이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P777,밧돌오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P778,동거문이오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P779,가세오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P780,둔지봉,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P781,느지리오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P782,윗세족은오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P783,가메오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P784,"대왕산 (왕뫼, 왕메, 왕미)",이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P785,묘산봉오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P786,까끄래기오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P788,발이오름,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P801,서광동리 곶자왈 생태탐방로,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P802,송당곶자왈,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P811,초록숲 지그리,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P814,볼고롱동백,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P822,상가리야자숲,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P827,삼매봉공원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P828,뿔소라공원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P830,삼무공원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P838,도순다원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P850,원앙폭포,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P856,제주서귀포층패류화석산지,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P857,청굴물,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P859,한라산국립공원영실탐방로,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P860,머체왓숲길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P861,제주올레 15-A코스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P862,샤이니숲길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P865,들렁모루동산,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P866,서중천탐방로,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P868,한라산 성판악 탐방로,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P873,막숙포로37번길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P876,제주환상자전거길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P880,제주올레 18코스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P881,제주올레 19코스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P882,제주올레 7-1코스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P883,제주올레 18-1코스,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P885,생이기정,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P886,천주교 순례길 - 김대건길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P887,제주유배길집념의 길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P888,천주교 순례길 - 김기량길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P889,제주불교성지 순례길 절로가는길 - 선정의 길,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P890,천주교길 정난주길(고통의길),이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P894,하예포구,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P901,모진이몽돌해변,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P902,태웃개,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P904,코난해변,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P908,소금막해변,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P909,도리빨해변,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P910,평대리 해변,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P916,차귀도,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P917,추자도,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P918,박수기정,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P919,형제섬,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P921,서건도,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P922,섶섬,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P924,마라도등대,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P925,다려도,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P926,비양등대,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P927,형제해안로전망대,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P932,모모쥬동물원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P951,세리월드,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P957,그랑블루요트투어,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P958,한림바다체험마을,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P960,우도올레보트,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P961,캔디원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P964,제라진오프로드,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P969,제주스쿠터여행,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P971,쥬티클럽,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P972,제주도서핑 문서프,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P975,도시해녀,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P976,M1971 요트투어,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P978,성읍랜드,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P980,조랑말체험공원,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P983,노을승마장,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P988,성읍승마장,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P989,제주레포츠랜드,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P990,제주카트클럽,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P991,윈드1947 테마파크,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P995,목장카페 드르쿰다,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P1011,선녀와나무꾼,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P1013,다이나믹메이즈 제주,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P1017,런닝맨 제주점,이동_접근,PARTIAL,NONE,FIX21-A,경로상태에 휠체어 접근제한/불가 명시 — 조건부 일괄매핑 오류,FIX21,,,,,,,,
P869,한라산 관음사 탐방로,이동_접근,PARTIAL,NONE,FIX21-A,고난도 등산로·계단·급경사 — 휠체어 진입 불가,FIX21,,,,,,,,
P571,기독교순례길 3코스(사명의길),이동_접근,PARTIAL,UNKNOWN,FIX21-A,21.4km 장거리 구간별 보행환경 미확인,FIX21,,,,,,,,
P134,이중섭미술관,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 NONE — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P344,서귀포 문화원,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 UNKNOWN — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P386,통일관,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 UNKNOWN — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P481,세계조가비박물관,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 UNKNOWN — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P482,소라의성 시민 북카페,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 NONE — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P518,포도뮤지엄,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 UNKNOWN — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P543,돌하르방미술관,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 UNKNOWN — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P567,굴동포구,이동_접근,FULL,PARTIAL,FIX21-B,장애인화장실 PARTIAL — 정정7 기준(화장실 미비 시 FULL 불가) 소급,FIX21,,,,,,,,
P121,숙성도/중문점,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P193,예술공간 이아,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P327,터진목&성산면 4.3희생자 유령비,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P451,노형슈퍼마켙,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P458,종달리해안도로,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P502,제주센트럴파크,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P644,유동룡미술관,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P691,제주옹기박물관,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P693,이니스프리제주하우스,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P704,박살2 K아일랜드 제주,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P794,거린사슴,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P805,김경숙해바라기농장,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P829,숨골공원,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P864,제주삼나무길,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P884,제주올레 10-1코스,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P920,별내린전망대,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P994,감귤카트,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P999,용두암해수랜드,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P1000,제주참숯가마찜질방,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P1019,돌코리숲,mobilityCaveat,,장애인화장실 미확인,FIX21-C,등급 유지 + 주의사항 표기,FIX21,,,,,,,,
P107,더마파크,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P154,소암기념관,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P172,제주올레 15-B코스,무장애여부_정규화,FULL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P412,소인국테마파크,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P571,기독교순례길 3코스(사명의길),무장애여부_정규화,NONE,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P611,자배봉(자배오름·망오름),무장애여부_정규화,PARTIAL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P662,곤을동4.3유적지,무장애여부_정규화,FULL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P677,한라디지털아트뮤지엄,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P679,초콜릿박물관,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P705,제주별빛누리공원,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P719,천왕사,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P733,동문수산시장,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P739,한라산국립공원,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P817,하도리 철새도래지,무장애여부_정규화,FULL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P825,서귀포칠십리시공원,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P833,한라생태숲,무장애여부_정규화,FULL,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P872,형제해안도로,무장애여부_정규화,FULL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P875,예래해안로,무장애여부_정규화,FULL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P879,제주올레 8코스,무장애여부_정규화,FULL,UNKNOWN,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P898,남원항,무장애여부_정규화,UNKNOWN,PARTIAL,FIX21-D,이동_접근을 정본으로 레거시 동기화,FIX21,,,,,,,,
P001,제주국제공항,외부검증여부,,검증완료(2026-07) — 공항공사 공식 교통약자 안내 대조,,,FIX22,한국공항공사 제주공항 교통약자 동반 안내 + 제주관광공사 확인,공식 운영정보 기반 검증,,,,,,
